B_GSM886836	B_GSM886859	B_GSM886901	B_GSM886912	B_GSM887015	B_GSM887088	B_GSM887110	B_GSM887112	B_GSM887118	B_GSM887119	B_GSM887120	B_GSM887124	B_GSM887125	B_GSM887126	B_GSM887314	B_GSM887318	B_GSM887480	B_GSM887527	B_GSM887574	B_GSM887577	B_GSM887596	B_GSM887666	B_GSM887682	B_GSM887689	B_GSM887722	O_GSM886945	O_GSM886996	O_GSM887247	O_GSM887248	O_GSM887249	O_GSM887250	O_GSM887251	O_GSM887252	O_GSM887253	O_GSM887254	O_GSM887255	O_GSM887256	O_GSM887475	O_GSM887476	O_GSM887691	O_GSM887692	O_GSM887693	O_GSM887694	O_GSM887695	O_GSM887697	O_GSM887698	O_GSM887700	O_GSM887701	O_GSM887702	O_GSM887713
10256_at	4.5187	4.2391	3.8895	4.4042	4.1857	5.0142	4.1762	4.3682	4.903	4.0928	4.0044	4.2777	4.0344	4.128	4.2141	4.4177	4.3814	4.2665	4.1961	4.2789	4.2083	4.3959	4.4815	4.2048	4.7609	5.9757	5.4845	6.3474	6.8701	5.3381	6.2962	6.6676	5.8501	5.7197	6.6045	5.4822	4.6925	7.02	5.022	6.5667	6.2717	6.4903	5.8958	5.3428	6.2236	5.455	6.0335	5.5129	6.445	6.2838
1040_at	4.419	5.1662	5.8789	6.0134	4.5245	5.6334	5.0597	4.6796	4.5166	4.5841	4.389	4.8602	4.9383	4.3704	4.7267	7.7109	4.7618	6.2912	4.5096	6.6499	7.3886	5.6543	4.8489	7.43	5.6385	8.7583	9.3617	7.9268	8.7221	7.8579	8.4851	8.9324	9.3038	8.5573	9.0405	6.8906	9.11	10.315	10.116	8.3129	9.227	8.9106	9.9398	9.1307	9.4202	9.2687	8.0676	6.1437	8.5718	8.6704
10509_at	7.033	6.7351	7.5234	7.3449	8.2881	6.9369	7.8269	6.7376	6.5825	6.888	6.3092	5.5872	6.7633	8.0785	7.8829	6.8451	5.4778	7.2863	6.9515	6.4983	6.4859	7.9414	6.9065	5.9936	7.7613	10.193	10.659	7.7746	9.3676	8.6292	11.118	10.636	9.3365	7.6118	9.628	9.4856	7.8763	9.8261	8.6529	9.4634	9.8097	9.6718	9.8508	7.8873	10.28	9.6886	8.6058	9.4928	9.4322	11.062
10653_at	4.3636	3.783	5.7508	4.5754	3.8659	4.558	3.5184	6.6968	4.2844	5.2473	5.6384	5.9495	3.9949	6.2448	4.8954	6.1362	5.0226	7.8104	3.8916	5.746	4.2706	4.8446	5.4515	4.1691	4.4247	12.951	11.954	11.417	11.561	10.712	11.205	12.347	11.62	10.348	11.699	10.266	3.8491	12.299	11.106	12.238	10.999	11.069	11.75	12.146	11.147	11.214	12.004	10.023	10.792	10.717
10855_at	6.5194	5.2057	5.1201	7.7352	4.8217	6.1312	6.066	4.5446	5.5971	5.44	4.7984	4.7968	5.501	4.9888	5.1998	6.4744	4.8936	4.9233	7.3264	6.3919	6.2078	7.9773	5.3416	5.397	6.1324	7.8492	7.8357	8.4471	7.4233	8.29	7.9156	8.083	7.3947	8.057	8.1322	9.0892	8.0128	8.5587	7.5332	8.9468	8.594	8.0771	9.1297	6.9887	7.5898	9.0981	8.3239	5.5786	8.7225	7.2808
11033_at	6.5452	7.3966	6.9693	6.4273	6.3234	6.8037	6.1614	6.5502	6.4784	6.5859	7.9032	6.2939	6.4421	6.3539	6.6771	6.4774	6.5323	6.6835	6.5315	6.2462	6.5945	6.3575	6.6332	6.9665	6.8592	8.3478	7.5752	8.4893	8.6215	8.1167	8.0957	8.701	8.4136	7.7316	9.0218	8.6779	9.041	10.716	9.2454	7.5128	7.8199	8.2661	8.2635	7.6658	8.6103	7.9228	7.8432	7.5361	8.5538	8.459
11187_at	6.1687	5.0093	4.9906	5.119	5.0672	5.4616	5.0586	4.7656	5.1051	5.0686	5.1928	5.0746	4.9088	4.8752	5.5281	4.3889	5.0325	5.0829	5.0495	4.9884	4.9847	5.3238	4.8234	5.0727	5.7004	7.6622	7.2659	7.6196	8.5263	8.1942	8.7	8.6174	8.7675	9.2813	8.1621	7.0043	7.534	9.5049	7.6443	9.0372	8.9314	7.7475	8.9299	6.701	8.4218	8.3593	7.1688	6.4811	9.4886	8.7014
114569_at	4.2113	4.2452	4.7768	4.7778	4.142	4.2896	4.1584	4.0016	3.8696	4.1096	4.1506	3.9076	3.8495	4.151	6.0109	4.0828	6.6194	4.0485	3.9569	4.0685	3.8235	4.4515	3.9517	4.1564	5.1316	11.796	11.549	11.62	12.105	11.082	11.454	13.072	12.442	12.072	13.637	11.341	12.07	13.364	13.113	12.697	13.279	12.445	11.917	11.328	12.296	11.944	12.062	7.1443	12.137	11.857
116984_at	5.7334	4.0911	3.8383	7.4346	4.3648	5.0416	6.411	3.5542	3.6623	3.8681	3.663	3.5838	3.9572	3.6974	4.7815	3.4753	3.5664	3.8135	3.7045	3.875	3.9235	3.6971	4.2149	3.7689	7.0136	7.0259	7.8322	8.3875	7.5583	6.4041	6.4952	7.8651	7.6676	7.6136	6.6256	6.1949	8.0584	6.8369	9.102	7.3064	7.5424	8.1606	7.8322	7.8474	7.8091	7.6908	6.4603	5.328	6.7633	7.4115
119391_at	5.379	4.8703	5.4846	4.3679	4.0648	4.692	5.7348	4.9013	5.1161	4.0752	6.2122	4.2094	5.523	5.9675	4.0102	4.9841	7.0165	5.8873	3.9551	4.6689	4.3972	6.0976	5.7602	4.5569	8.5407	10.008	9.4367	10.655	10.265	8.7164	9.9958	5.4708	9.2048	6.1685	8.0654	6.4236	5.1685	10.189	10.871	9.9222	9.713	10.055	10.033	9.6865	7.7159	5.8289	9.5667	8.4505	8.8884	10.469
