B_GSM886836	B_GSM886859	B_GSM886901	B_GSM886912	B_GSM887015	B_GSM887088	B_GSM887110	B_GSM887112	B_GSM887118	B_GSM887119	B_GSM887120	B_GSM887124	B_GSM887125	B_GSM887126	B_GSM887314	B_GSM887318	B_GSM887480	B_GSM887527	B_GSM887574	B_GSM887577	B_GSM887596	B_GSM887666	B_GSM887682	B_GSM887689	B_GSM887722	O_GSM886945	O_GSM886996	O_GSM887247	O_GSM887248	O_GSM887249	O_GSM887250	O_GSM887251	O_GSM887252	O_GSM887253	O_GSM887254	O_GSM887255	O_GSM887256	O_GSM887475	O_GSM887476	O_GSM887691	O_GSM887692	O_GSM887693	O_GSM887694	O_GSM887695	O_GSM887697	O_GSM887698	O_GSM887700	O_GSM887701	O_GSM887702	O_GSM887713
223082_at	6.6633	6.6511	5.836	6.5187	4.6221	6.7296	6.3125	5.4231	5.6782	5.9792	5.5382	5.7226	5.4652	5.7504	6.6336	7.2568	6.1671	6.4072	6.7317	6.4973	6.8609	6.3162	5.6999	6.7156	6.5648	6.1743	6.8315	8.5888	8.7982	7.8958	6.6065	7.3315	8.0187	7.9906	8.1648	7.2529	7.8255	7.4533	8.3312	7.4784	7.4774	8.1447	7.3961	8.8026	8.126	7.8935	7.3734	7.8839	7.538	7.8669
2260_at	7.5771	7.6833	7.4975	9.0201	10.176	8.0192	9.5922	8.9168	9.0589	9.0662	9.1739	8.552	8.2064	9.8875	9.3762	8.1285	8.406	8.1263	7.3905	7.4984	8.9033	9.2338	8.7484	8.2998	8.225	5.1054	5.0562	7.073	5.024	5.941	6.8217	5.3237	6.7636	5.8913	6.0125	6.7019	7.3576	5.4172	5.5926	6.218	5.3001	5.3164	5.0605	6.8952	6.0438	5.6025	6.368	8.8913	5.6541	5.7981
2275_at	7.1738	8.4025	7.8267	7.4836	8.0488	7.6866	8.0042	8.0937	7.4798	7.9014	8.0524	7.7883	8.0227	6.9344	7.6398	8.1852	8.1036	7.4419	8.1117	7.7739	7.799	7.5467	7.5951	8.491	7.7206	7.2197	6.651	6.7023	7.5935	6.707	6.7824	6.5972	6.2442	6.1546	6.1895	6.5087	5.6721	5.4196	6.296	7.0073	7.1401	6.0202	6.4109	6.3182	6.4581	5.4561	6.5458	6.6101	5.9242	6.1751
23086_at	6.3342	4.8883	4.4428	4.9059	4.8736	6.2735	4.5176	4.2388	4.8053	4.7688	4.4859	4.3215	4.8507	6.1007	4.7792	7.6234	6.3174	5.8754	4.7162	5.6874	5.2414	7.7525	4.7052	5.3792	7.2707	7.6815	7.6612	8.627	8.8623	8.7922	7.1721	7.1532	9.3989	7.4683	7.2551	7.6074	7.9767	9.5883	8.9338	8.3353	8.6541	8.9586	8.0156	7.3584	7.5801	9.6289	8.0131	5.2935	7.6562	9.4185
23179_at	8.4492	12.057	11.494	8.3766	9.788	8.7073	9.3905	9.8185	9.6162	9.9567	8.9561	9.2936	9.4586	9.9843	7.3173	11.821	11.187	9.8012	9.929	10.837	9.7709	9.7033	10.324	10.868	7.2767	5.7055	5.5984	6.2738	5.631	6.1924	6.7137	5.6625	5.612	6.2956	5.4164	7.706	6.3214	6.3679	5.7108	6.1494	6.2424	6.9427	6.2465	7.519	7.153	5.8822	6.8807	8.0215	6.6734	8.9748
23331_at	6.8536	8.1458	7.7906	6.5598	7.2928	6.3158	6.6321	7.276	7.4562	7.4389	7.6972	7.0911	6.4548	6.9769	7.4298	8.2355	7.2965	7.0553	6.2662	7.8913	7.971	6.1507	7.6113	7.4054	5.8675	4.6477	5.6015	5.7725	4.5001	4.7407	4.2722	4.2515	4.4157	5.7434	4.386	6.0925	5.0981	4.2361	4.5986	4.4138	4.4149	5.2238	4.1147	4.4759	4.9316	4.4972	6.0601	7.4167	4.5001	6.0168
23335_at	7.7511	7.536	8.4499	8.442	8.6577	6.9684	7.854	8.3683	8.1814	8.3852	8.1544	8.199	7.6852	8.7392	7.6578	7.8655	7.8762	8.0085	8.2752	7.6859	8.5212	7.8106	8.1208	7.8936	7.6535	6.8202	6.0251	7.4981	6.8419	6.6829	6.6742	6.9403	7.3231	6.6066	6.7201	7.0439	7.5855	6.5604	6.9835	7.7197	6.8673	7.2918	7.3309	6.5468	7.5758	6.3795	7.8484	6.9946	6.7937	7.0208
23624_at	4.1588	3.7296	3.6306	3.5107	3.5722	3.8223	4.0741	3.9249	3.5859	3.6461	3.9594	3.7187	3.6048	3.4961	3.5686	3.8321	3.6581	3.7958	3.6758	3.5342	3.9185	3.7166	3.6274	3.8165	3.8921	7.301	7.2035	7.2243	7.4585	7.143	6.3025	8.434	3.9035	7.0397	7.1434	5.0432	5.5686	8.3925	7.6031	6.7827	7.3058	6.6457	5.9185	6.2429	3.7526	5.0372	8.0301	4.698	6.6104	7.4264
23650_at	4.635	5.0773	4.8707	4.6613	4.9529	4.9338	6.6747	5.0629	5.211	4.9464	5.1041	4.6988	5.1137	4.6037	4.8027	4.4404	4.8538	4.7428	4.8587	4.8278	4.796	5.6844	5.3612	4.7563	5.5801	9.8287	8.8339	8.7501	9.8961	8.1462	8.2426	8.1051	7.7022	8.7129	9.1118	9.8851	10.408	7.7639	6.1731	9.2653	8.704	10.883	9.4688	8.5349	6.3192	9.6243	8.5585	6.5489	11.07	11.205
2523_at	5.1208	4.7959	5.0406	4.6913	4.8402	5.4494	4.8978	4.5423	5.035	4.4336	4.3683	4.938	4.7082	4.8924	5.0466	4.5363	4.9803	4.8567	5.1729	5.0291	4.9684	4.5762	4.2847	5.3518	5.3429	6.6536	7.1209	6.4582	7.2497	6.0915	6.0617	5.8542	6.309	5.8667	6.742	6.0664	6.4831	6.3356	6.2158	5.9494	5.7533	6.9319	5.7631	5.8557	5.8201	6.4965	6.2967	5.8731	6.3499	6.8435
25900_at	7.6259	7.1011	7.5343	8.9502	8.742	7.8613	8.3938	9.0919	9.0872	8.0148	9.0839	9.3917	8.7569	8.4303	7.7387	7.7793	9.3081	7.4696	8.1649	7.389	6.9187	7.8291	9.3383	7.007	5.268	5.1248	5.0661	4.6918	4.7804	4.7654	4.5583	4.6869	4.9347	4.8289	4.9665	5.3665	4.8441	4.7888	5.0235	6.0712	4.8036	4.8191	5.2055	5.1562	4.652	4.9019	4.5117	4.5398	5.1108	4.6846
25927_at	11.626	9.1917	11.482	11.101	9.8668	11.493	10.521	10.484	10.394	10.044	10.344	10.578	10.805	10.351	10.331	10.774	9.757	9.08	8.7485	9.6605	7.304	10.471	10.715	10.231	7.327	4.7078	6.0556	4.5143	4.1733	4.9424	4.1523	4.2035	4.545	4.6229	4.3774	4.5588	4.6337	4.0414	4.0865	5.8984	4.6358	4.2448	3.9572	4.1572	4.5827	5.737	4.5706	4.1693	4.3264	4.6055
25960_at	5.0718	9.475	9.2942	5.298	7.2034	6.1199	8.0491	8.4465	9.052	7.5593	8.378	7.6569	7.2514	8.7688	7.1295	9.77	8.4423	8.8858	8.4323	6.4906	10.353	8.6122	8.3313	8.8528	7.2372	5.0591	4.6663	4.968	5.4033	5.0476	5.3724	4.8087	4.7729	4.7615	4.9338	5.3958	4.6452	4.4247	4.7047	4.9596	4.5837	4.951	4.6466	5.1598	4.297	4.2795	4.7051	5.7842	4.8187	4.6127
2707_at	4.5834	4.4532	4.2422	4.9057	4.674	4.8596	4.5666	4.6557	4.7806	4.701	4.6018	4.4958	4.7578	4.365	4.7878	4.3514	4.4923	4.332	4.6386	4.2298	4.1517	4.5118	4.6958	4.5341	5.753	7.7149	8.8145	8.4511	7.9965	8.6785	9.9198	8.4758	8.4695	5.5885	7.9439	7.4897	5.454	8.6472	7.9205	9.1644	10	8.0765	9.3238	7.9567	7.5564	7.4467	4.8082	5.9725	8.6039	8.9262
2769_at	4.4905	4.9663	4.98	4.8946	4.9601	4.5284	4.9367	4.9114	5.0377	4.64	4.9134	4.7635	4.928	4.5549	4.5131	4.424	5.0339	4.8222	4.7056	5.1164	5.0104	4.3718	4.8582	4.8368	4.7745	8.4357	9.2497	5.9626	9.7555	8.7032	8.506	9.3338	7.5821	5.9232	7.6583	9.2168	5.3394	6.3518	8.9674	6.7561	9.3073	8.6228	9.0705	7.9599	6.7132	8.2916	6.0075	7.5335	9.9744	8.74
2791_at	9.2081	9.2551	6.4384	11.981	12.019	10.184	10.257	11.782	11.273	10.744	11.6	12.751	12.459	11.505	10.148	9.8748	13.246	10.981	11.258	9.9757	10.172	11.652	11.939	10.588	10.047	6.7127	5.1027	5.0519	8.549	7.6444	6.0426	8.1586	7.7728	5.6401	7.1087	7.9537	5.3323	5.5626	5.4805	5.2335	6.6467	8.5195	7.339	10.673	5.019	8.7473	4.977	4.8452	6.6967	4.9166
2810_at	6.4333	6.2992	5.9166	6.3353	6.5705	6.848	6.7761	6.3981	6.0685	6.1715	6.2791	6.5639	6.8932	6.2829	6.6981	6.5555	6.3816	6.3028	6.1226	6.1207	6.0403	8.4492	6.2795	6.3475	13.072	13.334	13.97	13.386	13.521	13.615	13.075	12.87	12.296	12.494	13.484	13.188	12.599	12.146	11.441	13.72	14.316	13.309	13.543	13.933	11.889	13.18	11.738	13.618	14.039	14.003
286077_at	4.5175	5.2871	6.0031	5.2851	5.3087	4.7588	5.4239	5.4497	5.3361	5.2809	5.1825	5.3609	5.3677	5.1332	6.6628	5.0756	5.1841	5.2925	5.4058	5.5501	5.1558	5.5095	5.3937	5.4976	6.0845	6.1787	6.2474	6.6788	6.9044	6.7763	7.259	7.1502	7.2391	6.8708	6.421	7.0394	6.9857	7.3649	6.2848	7.3393	7.2424	6.6719	6.7292	6.671	6.3358	6.1644	6.3845	6.4411	7.1527	7.1122
29911_at	6.2668	7.9179	7.5658	8.4789	7.9463	6.4392	6.9327	7.7388	7.5604	6.6547	6.9155	6.4417	7.297	7.0361	8.2968	7.478	7.5733	7.7089	6.5643	7.2361	7.546	7.6617	7.2079	7.3372	7.4209	8.5485	8.9209	8.8947	9.5388	8.1439	9.1423	9.3735	9.0127	9.3649	8.8983	8.186	9.6917	8.3458	8.4518	8.8946	8.8157	8.7541	8.4846	8.2482	8.5951	8.8477	9.5889	9.4109	8.4526	9.1758
29984_at	5.46	6.4869	5.4283	7.3236	6.8417	6.7371	7.1246	7.301	8.0317	7.0011	7.3846	6.6067	7.2907	6.4206	8.3607	7.5697	7.0608	8.1221	5.7248	5.4938	6.9457	5.9832	7.9834	6.0898	5.5352	9.3333	8.2219	7.9711	10.001	10.363	8.5775	9.4278	9.7678	8.6032	8.0472	9.8621	9.3073	7.7997	8.8288	8.0021	9.9975	8.3861	10.172	9.6351	9.7732	9.3343	7.231	7.703	9.3003	8.7742
30008_at	8.117	8.9347	7.4316	7.5333	10.696	8.9152	10.274	11.671	11.431	10.502	11.438	11.016	10.581	10.372	9.2831	8.6809	10.518	8.4663	11.151	8.4119	5.7961	10.474	11.576	5.183	9.1607	9.2534	5.8779	4.7219	5.0119	4.7873	8.7172	5.0368	4.9146	4.6173	4.9904	7.142	4.7124	4.4606	5.2246	5.3984	4.8546	4.702	6.102	6.52	4.9022	5.8355	5.4517	7.0239	4.7521	5.4107
309_at	9.2873	10.2	9.5118	10.228	9.2377	10.424	10.649	11.516	11.421	11.551	11.291	12.069	11.29	11.479	10.828	10.411	10.411	9.9521	11.406	10.392	10.658	10.612	11.183	9.6191	9.6224	7.3436	5.6815	5.7589	5.5698	6.3872	9.027	6.4278	5.6211	5.4283	6.7111	7.7009	8.4563	5.6657	8.1152	5.1256	5.658	4.1008	5.0569	8.3736	6.8514	5.3329	7.4086	9.2457	6.3281	4.7779
3304_at	8.283	8.1513	8.5257	9.5398	8.2154	8.3543	9.4804	8.6519	8.6419	8.2286	8.6979	8.6649	8.4637	9.7416	9.212	7.9392	9.1404	7.7927	8.7773	7.1588	8.5063	8.6517	9.1994	8.6562	9.2533	9.984	11.082	9.4879	8.9637	10.931	9.8258	11.219	10.898	9.957	11.326	9.4901	9.8006	9.7159	9.4991	10.059	10.933	10.049	9.9782	9.813	10.43	9.1707	11.069	10.462	10.087	10.984
348262_at	7.6619	8.2625	9.2995	7.549	8.653	7.4425	8.672	8.7775	8.3103	8.2887	8.37	8.7717	8.9806	7.6996	7.6263	8.2269	7.6992	8.5502	8.8964	8.352	8.5067	8.2617	8.3769	8.3177	8.3493	6.6189	6.7184	6.2159	6.9614	7.027	6.4847	7.9235	6.4092	7.0649	6.5022	5.8199	5.8066	6.577	7.0631	7.7322	5.6603	5.8665	6.8593	6.7359	6.0676	6.5809	7.3315	7.6975	5.9009	6.554
3655_at	7.9076	5.5754	4.8353	6.6382	6.9735	7.5555	8.2094	8.1511	8.1926	6.8509	7.3116	7.7322	6.6916	9.9341	6.5184	4.6434	6.6636	6.6607	7.5906	4.3654	4.1801	8.4951	8.0703	4.0114	8.0322	10.674	11.613	9.6553	9.7104	10.366	10.725	10.167	10.085	8.6755	9.4877	11.7	9.6768	11.081	10.662	8.7795	11.643	10.315	11.19	8.7051	8.7409	9.2934	9.0182	9.0291	10.406	10.218
3664_at	4.1835	4.1726	4.4097	4.19	4.1945	4.1712	4.3233	5.1285	4.3361	4.0742	4.2323	4.222	4.6997	4.8478	4.5281	4.0777	4.1618	4.4163	4.3239	4.298	4.2688	4.0027	4.4666	4.2196	4.1437	8.8748	7.9224	7.3614	8.3122	6.7465	6.2087	8.8475	6.2735	7.5142	8.899	6.7448	7.8851	6.3153	5.8696	6.199	8.7698	9.0535	6.8142	6.6546	6.7937	8.3019	7.813	6.0134	9.4261	7.2793
3673_at	9.2592	4.2589	4.1335	6.6537	6.2962	5.6127	6.0486	7.5417	7.3398	6.5099	7.2163	6.6921	6.7439	10.54	7.5482	4.1071	9.3954	5.4763	6.384	5.6745	5.3106	8.3854	7.3693	6.1891	6.9621	9.8874	12.125	11.754	9.668	10.518	10.792	10.669	10.919	8.397	8.9185	8.1231	9.7831	8.5958	12.105	10.435	10.254	9.9194	10.074	11.604	10.945	9.8378	9.7418	9.6846	8.525	8.9308
3691_at	3.8504	3.9371	3.8352	3.8181	4.0171	4.0552	3.8541	3.9387	4.0931	3.8548	3.9313	3.8491	3.7827	3.6845	4.1508	3.8175	3.8859	4.0027	4.0807	3.8134	3.8701	3.9469	3.9899	3.9923	4.9092	8.1002	8.002	7.0469	7.4078	5.8599	7.6651	8.848	5.5951	5.312	5.7991	5.534	6.0663	6.7307	5.1769	7.5855	6.556	6.4544	8.887	6.9087	4.7292	6.6319	5.9751	5.4284	6.4759	5.9496
3714_at	4.8084	6.0594	6.8469	5.0196	4.5192	5.1917	4.5226	5.0881	4.7178	4.6148	4.8109	4.5808	4.8785	4.7524	6.4678	6.142	5.2931	6.8452	10.03	5.6037	6.4756	4.937	4.7118	7.814	5.7515	9.7049	7.651	9.7479	8.9248	9.7246	10.429	8.043	8.5095	7.9659	9.2478	8.3726	8.3077	6.4031	7.4388	9.1629	8.9445	9.451	10.184	6.8005	7.0073	9.0503	8.1915	8.6186	9.1646	7.8314
3728_at	5.0704	7.0173	7.6744	6.9383	5.1551	6.5539	4.2378	5.583	5.133	4.9223	6.4494	5.7551	5.4466	7.4307	6.3843	7.63	9.2387	8.0385	5.4004	6.4239	8.1508	5.0267	5.2956	7.2866	7.7158	10.694	10.537	11.032	10.402	10.301	9.7379	11.665	10.287	9.4268	10.687	9.9486	9.0631	14.079	12.31	11.013	10.767	10.923	10.599	9.5846	10.64	11.372	9.9605	9.5101	12.145	12.054
388507_at	4.7997	8.0291	6.6838	7.5899	8.8583	8.5472	7.9474	7.0482	6.9369	6.6172	6.5111	7.1608	7.562	6.92	6.659	8.5802	6.1041	8.2465	4.6731	8.205	7.5152	6.9905	6.6564	7.8116	6.6515	4.7717	4.0642	3.8327	3.9384	4.1763	6.641	4.0421	3.8512	3.9482	3.8355	4.2779	3.8581	4.5572	4.6118	4.4432	4.3215	5.656	4.2754	4.32	3.8248	3.7356	6.23	3.6787	4.5686	5.7915
3898_at	4.5979	4.7694	4.7263	4.6748	4.4603	5.6568	4.6485	4.9602	4.9993	4.65	4.8378	4.9013	4.7481	4.7414	4.6473	4.4728	4.7559	4.6703	4.5915	4.3517	4.8305	4.6369	4.5458	5.2429	4.8037	6.4635	7.3028	7.8381	7.7555	8.4616	7.4073	7.7162	7.4969	6.9254	7.3618	6.4184	4.7634	9.5768	7.4209	8.4704	8.2695	7.9387	8.4355	7.0871	8.1411	7.2474	6.2783	5.6616	8.9818	8.3982
3911_at	8.5349	7.1669	7.8499	6.7737	7.9618	9.4541	7.0428	7.6214	7.7094	8.119	7.3061	7.4429	7.0124	9.362	9.4281	7.4307	7.7357	7.136	7.712	6.1176	6.419	7.7509	7.3381	7.9951	10.636	12.219	10.939	9.4036	11.115	9.7177	11.256	11.484	11.009	9.29	11.173	11.137	10.656	10.778	10.549	10.557	10.026	11.099	10.47	11.551	9.581	11.91	10.294	10.233	11.056	10.171
3914_at	7.5732	7.8413	5.178	4.8759	5.0147	5.1571	4.832	5.4707	4.7956	6.2063	5.9596	5.9577	5.9054	7.0171	4.7429	4.838	4.579	5.5514	4.2847	6.9473	6.1288	7.2321	5.545	4.4779	9.2398	11.426	12.759	11.522	9.9826	10.795	11.942	10.249	9.3034	10.428	10.411	9.5479	11.297	9.4614	8.7039	10.845	11.252	11.441	11.808	9.5827	11.036	8.9433	10.192	9.097	11.551	8.427
3993_at	5.7399	6.2537	6.4166	5.8983	5.6413	6.4414	6.0504	5.4877	5.6162	5.713	5.3885	5.3878	5.801	5.4667	5.4463	6.151	5.5076	5.9449	6.0418	5.9248	5.8167	5.2432	5.759	7.0952	5.2495	9.2379	7.3251	7.7442	7.5805	7.3953	8.1203	9.9037	7.98	7.6493	7.8103	7.6027	7.1755	10.105	9.1385	8.4694	7.2414	8.912	8.3675	7.9047	8.5513	9.0173	8.0123	7.054	8.7009	8.5564
4070_at	4.0063	4.2097	3.9074	4.4268	4.0884	3.8494	4.6068	5.2503	4.3284	4.109	4.7604	4.1618	4.9005	4.3083	5.1874	4.2543	4.2387	4.6216	4.154	4.7967	4.28	4.3209	4.5025	4.3015	4.3943	13.597	12.932	10.975	13.632	11.691	13.094	13.77	12.585	11.535	13.368	12.569	4.2173	12.102	13.296	12.804	13.554	13.195	13.382	12.523	6.9895	13.486	11.37	8.0936	13.516	13.276
4072_at	7.9613	3.9262	4.3619	4.1065	4.3876	8.9929	4.437	5.6284	4.2781	3.4155	3.9081	4.2827	4.435	4.1312	4.9328	4.0091	4.0086	4.3229	4.6206	5.3921	6.186	4.4658	3.5482	4.4152	8.4342	12.461	12.706	12.756	12.57	12.971	12.249	12.668	13.028	12.807	12.984	10.209	12.691	12.921	13.422	12.968	12.296	12.64	12.142	13.042	12.786	12.715	12.812	9.7369	11.712	12.73
4267_at	9.6239	13.69	13.603	11.671	11.691	11.197	11.753	12.13	12.43	11.725	12.218	12.194	11.66	12.09	12.409	12.013	10.608	13.484	12.087	11.989	12.466	11.8	11.953	12.197	10.029	9.6911	9.2235	9.4273	9.6702	8.8732	11.485	9.7025	9.3246	8.9421	9.4181	9.6049	9.8014	8.2063	9.7249	9.0414	9.8822	9.8726	9.3932	8.4354	11.639	10.609	9.1784	9.2509	10.132	11.223
4921_at	8.5068	9.4491	10.169	9.9131	9.2847	8.812	9.9891	10.574	10.362	10.831	10.085	10.599	9.661	10.973	8.5673	10.409	9.1431	6.8529	8.9355	8.5521	9.8797	8.9815	10.503	7.9272	6.9913	5.05	4.5633	5.0318	4.8817	4.9627	4.768	4.4926	4.8207	4.81	4.8194	4.8701	4.97	4.7843	4.8214	4.7753	4.4073	4.3544	5.1501	4.7379	4.71	4.8418	4.4772	4.5897	4.626	4.541
50619_at	4.5378	5.1845	4.2525	4.5714	4.8625	4.883	5.1065	4.618	4.6737	4.3938	4.3789	4.4729	4.7769	4.6796	5.1175	4.3938	5.7302	4.821	5.1131	4.7336	4.472	4.738	4.5546	5.6399	4.4754	6.5292	6.4658	6.6881	7.2802	6.6859	6.8883	6.7834	6.1495	5.7471	6.0963	6.6767	6.1398	5.3874	6.1612	6.8308	7.2896	6.2256	7.0331	6.4362	6.7183	7.6958	7.2783	5.7614	6.7933	7.9389
50848_at	5.1993	5.0236	4.8267	4.7991	4.3175	5.712	4.949	4.2804	4.3166	4.7141	4.8791	4.4513	4.8375	4.9503	4.9053	6.5141	4.5505	5.6267	5.3435	6.7797	6.6183	7.4157	5.2427	6.1008	5.9828	10.462	10.998	9.6167	9.5316	9.1607	10.719	9.7309	9.4557	9.476	10.111	8.4422	9.523	9.9238	9.03	9.4055	10.307	9.83	10.274	9.6579	10.049	9.9003	9.4443	8.0304	10.071	10.403
51177_at	8.5401	8.8234	8.3479	8.4451	9.3436	9.6568	8.3274	9.066	7.3091	7.8015	8.1429	8.3925	8.6302	8.8863	6.2139	8.5061	7.8022	9.2363	8.7737	9.559	8.7023	8.0571	7.6865	8.1253	8.025	4.7166	5.3852	6.4049	4.4062	5.9889	7.6064	4.2414	6.9496	6.0947	5.1046	6.7944	5.7361	3.7917	5.0176	4.7125	5.1961	6.3597	5.5117	4.7521	6.0786	5.1403	5.9462	7.543	4.9801	5.8886
5118_at	9.1498	8.9668	9.9064	10.99	11.726	9.9961	8.4068	11.593	11.265	9.9673	10.3	10.445	10.25	11.678	10.046	9.1781	12.32	5.973	10.805	8.0445	8.4717	7.0479	11.274	8.6752	10.751	5.4034	5.8157	6.2411	5.4672	4.8787	6.069	6.2035	6.4282	4.8988	4.9917	5.7129	4.3715	5.2413	5.3339	5.497	4.8221	5.0543	4.6782	5.5121	5.171	6.7291	5.2967	5.4375	4.817	4.9151
51309_at	9.1138	8.5277	4.1246	10.092	9.6972	8.3657	9.6579	10.672	10.262	9.5528	10.075	10.076	10.312	10.674	9.1685	10.012	9.1383	8.0014	8.6103	8.407	4.9621	10.007	10.077	9.0967	7.8215	9.5936	3.7515	4.0113	4.0487	3.8201	6.4457	4.4674	3.699	3.6345	3.7793	4.1174	3.4678	4.0135	4.0859	3.8831	4.2542	3.5853	5.9479	6.5102	3.781	3.6354	3.9365	9.3814	3.9473	3.5165
51599_at	5.3497	5.3205	4.9912	4.8618	5.9768	4.8308	4.8838	5.2896	4.5034	5.2443	5.5406	6.252	5.8852	5.9708	4.5957	3.8937	5.5146	4.3433	5.341	5.7695	4.6579	4.6371	5.5354	5.0271	8.5641	10.574	11.025	10.412	10.468	10.052	10.427	11.502	10.154	8.5056	10.893	8.5262	8.1175	10.893	9.3331	10.28	9.4265	9.3421	9.4249	9.2288	9.4123	10.013	10.831	8.7418	9.2781	9.4979
51661_at	6.2289	7.6715	7.8823	8.4505	8.23	5.9056	7.9355	7.7884	7.5977	7.4619	7.9382	7.83	7.7912	7.9382	6.9482	7.1548	8.17	7.7228	7.8237	7.8838	7.389	7.2688	7.3348	6.666	6.0021	5.2242	5.1933	4.7294	4.9915	4.9362	5.3933	4.356	6.1808	4.618	4.7242	5.5647	4.2911	4.7203	4.5231	4.5234	4.8632	4.9825	4.1538	4.4291	7.1279	5.1806	4.2145	7.6663	4.7947	4.5795
5268_at	4.0888	3.939	3.9305	9.5465	3.7947	3.9174	4.0568	4.2847	4.0241	4.1768	4.1252	3.9537	3.9012	3.7125	9.2725	4.2233	4.2822	3.9414	3.9612	3.893	4.2664	4.2533	4.2818	4.2322	4.2007	9.4042	10.116	10.424	9.3533	11.168	12.549	11.091	11.351	9.6702	10.42	11.982	10.972	11.612	10.514	11.973	12.466	11.024	11.715	9.1796	10.286	10.783	10.822	8.2733	11.544	12.036
5349_at	4.69	4.617	4.8632	4.9732	4.7429	4.9006	5.3491	5.0603	5.0257	4.96	4.7159	4.9341	5.158	4.7644	4.6844	4.9702	4.998	5.2342	4.7649	4.8412	5.2486	4.7822	4.9483	5.4515	5.0736	9.6825	11.328	10.314	10.754	9.4746	9.2566	11.155	9.1583	11.299	11.892	10.331	11.422	12.201	6.4064	10.557	10.228	12.026	10.945	8.4722	8.3362	12.032	11.992	8.5566	11.773	12.382
53836_at	3.7269	3.7171	3.9264	3.7166	3.9113	3.6242	4.2095	3.7989	3.8111	3.9892	3.6934	3.836	4.0167	3.8121	3.7464	3.6749	3.5526	3.8198	4.1674	3.6778	3.689	3.9448	3.9037	3.8362	8.2169	9.0605	8.9055	9.2809	10.475	9.9968	8.79	9.7897	10.197	9.5623	8.563	7.7858	10.71	4.2577	10.31	9.1256	10.66	8.2737	10.544	8.3191	8.2657	11.289	6.2498	9.1973	10.541	10.473
54812_at	8.6286	8.5594	8.5382	9.1756	8.1796	8.6158	8.851	8.4538	8.6188	8.216	8.3858	8.6082	8.6169	8.2289	8.3401	8.5211	8.2476	8.2663	7.925	7.6704	8.5006	8.1742	8.5191	8.4412	8.843	9.1094	9.4162	8.628	9.4643	9.089	8.7542	9.4877	9.0771	9.2735	9.1492	9.0585	9.1759	9.8899	9.7412	9.4125	8.7297	9.3704	8.8365	9.3767	9.5052	9.9475	9.0159	8.7809	9.2694	9.3565
54830_at	5.3189	4.5353	3.59	3.4123	3.6729	4.7717	3.6849	3.7134	3.5277	3.6469	3.537	3.62	4.1852	3.588	3.5274	3.885	3.7944	4.8711	3.8479	4.8129	5.2194	4.0115	4.0486	5.0178	5.7766	8.1805	7.083	7.8176	7.9539	7.4134	7.2338	5.3676	6.2937	5.9051	5.3855	5.7354	5.5325	7.719	8.5617	4.7018	7.2859	7.7694	8.3627	7.205	6.5441	7.9445	4.927	6.7317	6.9418	6.1542
54845_at	3.8282	4.0155	5.1187	4.0778	4.045	4.3228	4.0655	4.1024	4.1017	4.016	3.7725	3.781	4.1204	3.9681	3.7193	5.6173	4.1843	4.1613	4.1091	4.5172	4.7862	4.1766	3.9731	4.5298	3.9506	10.967	12.137	10.731	10.405	10.545	9.9737	11.692	10.404	10.786	10.159	8.7583	5.7342	11.165	10.322	10.005	10.749	11.3	10.624	9.7096	11.149	11.099	11.402	7.5416	10.533	11.609
5493_at	4.4887	4.0735	3.6463	6.5372	4.4654	4.8225	4.2841	4.6222	4.3653	4.4913	4.4563	3.9906	4.0936	6.4034	4.3348	3.8691	6.1588	4.3302	4.4425	4.3831	4.3676	3.8794	4.9017	4.1926	3.7857	9.2227	10.709	9.2933	9.7054	9.7028	9.0017	10.285	9.4795	8.3513	9.8872	9.3437	8.4298	9.0937	9.7184	10.927	10.03	9.886	10.117	10.293	10.311	10.822	6.6906	8.6248	11.175	10.78
55057_at	4.2657	4.3518	4.7268	4.5076	4.348	4.319	4.5501	4.171	3.9795	4.3047	4.1927	4.2077	4.397	4.2312	4.6276	4.5211	4.3991	4.5689	4.513	4.3758	4.6746	4.9636	4.4405	4.3427	4.8282	5.1851	4.9603	5.2561	5.4941	4.7636	4.8895	5.0816	5.2271	4.8762	4.8884	5.2633	4.774	5.3123	5.3582	5.0553	5.1363	5.3214	5.1327	5.0504	4.9692	4.571	4.5994	4.4046	5.4847	5.4116
55114_at	9.9628	10.772	9.6904	9.0266	9.9864	9.9292	9.8581	10.233	9.8117	10.066	9.7288	10.194	9.8609	9.9998	10.674	10.831	9.8116	11.998	10.125	9.5437	9.3573	10.276	9.8468	10.57	8.7562	8.1744	8.4278	7.9789	8.9289	8.443	9.2992	9.0205	8.1663	8.6734	8.1923	8.8539	8.2028	8.0623	8.5997	8.492	8.626	7.8873	8.0074	8.0147	8.6759	8.1686	8.1694	8.9506	8.5645	7.9423
55227_at	6.9301	6.1692	5.0956	8.0565	6.7073	7.7604	6.7913	5.7028	5.5097	6.3145	4.8792	6.5889	5.639	7.0531	4.7281	5.5438	5.3686	5.5341	7.8201	6.328	7.004	6.762	5.43	6.5844	8.4646	8.5416	8.4214	7.9596	9.7028	8.4032	8.3935	8.2571	8.295	8.0451	8.5225	7.4679	8.1256	9.2167	9.4342	8.3932	8.9456	8.4639	9.1435	8.6358	8.2741	9.5844	7.8134	7.1517	9.1671	9.6732
